Chapter,	Link
1,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144134168001/1280/720
2,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144179243001/1280/720
3,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144193049001/1280/720
4,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144190260001/1280/720
5,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144196543001/1280/720
6,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144196546001/1280/720
7,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144193843001/1280/720
8,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144193055001/1280/720
9,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144196750001/1280/720
10,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144196751001/1280/720